_id,ownerId,name,description,rating,image,address,category,dateCreated,slug,numberOfRating,status,province,minPrice,latitude,longitude,__v,caategory,product_id
6704f3650722c4f99305dc5d,6729d0e8dda9481629a2a2e9,Khách sạn Hương Việt,"Nhà hàng phục vụ các món ăn truyền thống Việt Nam, không gian ấm cúng.",3.8,"[{'url': 'https://res.cloudinary.com/dzy4gcw1k/image/upload/v1735586344/travel-social/file-1735586315301-3_%20%281%29.jpg.jpg', 'publicId': 'travel-social/file-1735586315301-3_ (1).jpg'}, {'url': 'https://res.cloudinary.com/dzy4gcw1k/image/upload/v1735581647/travel-social/file-1735581614030-ystallonne-alves-U_g9ZCqKAPA-unsplash.jpg.jpg', 'publicId': 'travel-social/file-1735586315301-3_ (1).jpg'}]","123 Đường Trần Hưng Đạo, TP.HCM","{'id': 'hotel', 'name': 'khách sạn'}",2024-10-08T10:00:00,nha-hang-huong-viet-123-uong-tran-hung-ao-tphcm,11.0,active,TP.HCM,300000.0,10.776889,106.700806,,,6704f3650722c4f99305dc5d
6704f3650722c4f99305dc5e,6704df9d3d81e2f463846c21,Khách Sạn Biển Xanh,Khách sạn ven biển với phòng nghỉ sang trọng và dịch vụ tuyệt vời.,4.0,[{'url': 'https://res.cloudinary.com/dzy4gcw1k/image/upload/v1735585013/travel-social/file-1735584983393-simply-mersah-f9VRmJ-eAik-unsplash.jpg.jpg'}],"456 Đường Biển, Nha Trang","{'id': 'hotel', 'name': 'Nhà hàng'}",2024-10-08T10:00:00,khach-san-bien-xanh-456-uong-bien-nha-trang,,active,Khánh Hòa,200000.0,12.2451,109.1943,,,6704f3650722c4f99305dc5e
6704f3650722c4f99305dc5f,6704df9d3d81e2f463846c27,Quán Cafe Sáng Tạo,"Quán cafe với không gian sáng tạo, lý tưởng cho làm việc và gặp gỡ bạn bè.",3.7,"[{'url': 'https://res.cloudinary.com/dzy4gcw1k/image/upload/v1735585136/travel-social/file-1735585106495-pew-nguyen-3sXuWhKZVeg-unsplash.jpg.jpg', 'publicId': 'travel-social/file-1735585106495-pew-nguyen-3sXuWhKZVeg-unsplash.jpg'}]","789 Đường Lê Văn Sỹ, Hà Nội","{'id': 'hotel', 'name': 'Khách sạn'}",2024-10-08T10:00:00,quan-cafe-sang-tao-789-uong-le-van-sy-ha-noi,11.0,active,Hà Nội,200000.0,21.028511,105.804817,,,6704f3650722c4f99305dc5f
6704f3650722c4f99305dc60,6704df9d3d81e2f463846c21,Khách sạn Phố Cổ,"Nhà hàng với các món ăn đặc sản miền Bắc, không gian trang nhã.",4.0,[{'url': 'https://res.cloudinary.com/dzy4gcw1k/image/upload/v1735585010/travel-social/file-1735584979636-alka-jha-lOxVZQc0W0U-unsplash.jpg.jpg'}],"321 Đường Hàng Bông, Hà Nội","{'id': 'hotel', 'name': 'Nhà hàng'}",2024-10-08T10:00:00,nha-hang-pho-co-321-uong-hang-bong-ha-noi,,active,Hà Nội,260000.0,21.0251,105.8421,,,6704f3650722c4f99305dc60
6704f3650722c4f99305dc61,6704df9d3d81e2f463846c27,Khách Sạn Mặt Trời,Khách sạn cao cấp với dịch vụ spa và hồ bơi sang trọng.,5.0,[{'url': 'https://res.cloudinary.com/dzy4gcw1k/image/upload/v1735585018/travel-social/file-1735584986518-tu-tran-anh-zfJ0U9MhTUA-unsplash.jpg.jpg'}],"654 Đường Nguyễn Văn Linh, Đà Nẵng","{'id': 'hotel', 'name': 'Khách sạn'}",2024-10-08T10:00:00,khach-san-mat-troi-654-uong-nguyen-van-linh-a-nang,,active,Đà Nẵng,400000.0,16.0544,108.2022,,,6704f3650722c4f99305dc61
6704f3650722c4f99305dc62,6704df9d3d81e2f463846c21,Khách Sạn Bên Sông,"Quán cafe yên tĩnh bên sông, lý tưởng để thư giãn và đọc sách.",4.0,"[{'url': 'https://res.cloudinary.com/dzy4gcw1k/image/upload/v1735586343/travel-social/file-1735586316946-5_.jpg.jpg', 'publicId': 'travel-social/file-1735586316946-5_.jpg'}]","135 Đường Bến Vân Đồn, TP.HCM","{'id': 'coffee-shop', 'name': 'Quán cafe'}",2024-10-08T10:00:00,cafe-ben-song-135-uong-ben-van-on-tphcm,2.0,active,,,,,,,6704f3650722c4f99305dc62
6719247c456a0d466dc2be77,671917a9dba9bb66474be6f4,Nhà nghỉ six,"Quán cafe với không gian sáng tạo, lý tưởng cho làm việc và gặp gỡ bạn…",0.0,"[{'url': 'https://res.cloudinary.com/dzy4gcw1k/image/upload/v1735586343/travel-social/file-1735586313501-1_%20%281%29.jpg.jpg', 'publicId': 'travel-social/file-1735586313501-1_ (1).jpg'}]","789 Đường Lê Văn Sỹ, Hà Nội","{'id': 'guest home', 'cateName': 'Quán cafe'}",2024-10-23 16:29:48.970000,six-coffee-789-uong-le-van-sy-ha-noi,,active,,,,,0.0,,6719247c456a0d466dc2be77
671a0ba18d9d58d19294038e,671a02c2c0202050e0969548,Seven homestay,"Quán cafe với không gian sáng tạo, lý tưởng cho làm việc và gặp gỡ bạn…",0.0,[{'url': 'https://res.cloudinary.com/dzy4gcw1k/image/upload/v1735585076/travel-social/file-1735585049949-simply-mersah-EwDEw-k3WAA-unsplash.jpg.jpg'}],"789 Đường Lê Văn Sỹ, Hà Nội","{'id': 'homestay', 'cateName': 'Quán cafe'}",2024-10-24 08:56:01.144000,seven-coffee-789-uong-le-van-sy-ha-noi,,inactive,,,,,0.0,,671a0ba18d9d58d19294038e
671a54ec375ff5b847a3bfa3,671a02c2c0202050e0969548,Eight homestay,"Quán cafe với không gian sáng tạo, lý tưởng cho làm việc và gặp gỡ bạn…",0.0,[{'url': 'https://res.cloudinary.com/dzy4gcw1k/image/upload/v1735584858/travel-social/file-1735584828299-simply-mersah-f9VRmJ-eAik-unsplash.jpg.jpg'}],"789 Đường Lê Văn Sỹ, Hà Nội","{'id': 'homestay', 'cateName': 'Quán cafe'}",2024-10-24 14:08:44.203000,eight-coffee-789-uong-le-van-sy-ha-noi,,rejected,,,,,0.0,,671a54ec375ff5b847a3bfa3
675ab04f588fc87127bb5bad,671a02c2c0202050e0969548,Nine homestay,"Quán cafe với không gian sáng tạo, lý tưởng cho làm việc và gặp gỡ bạn…",0.0,{'url': 'https://res.cloudinary.com/dzy4gcw1k/image/upload/v1735585018/travel-social/file-1735584990954-simply-mersah-EwDEw-k3WAA-unsplash%20-%20Copy.jpg.jpg'},"789 Đường Lê Văn Sỹ, Hà Nội","{'id': 'homestay', 'cateName': 'Quán cafe'}",2024-12-12 09:43:43.237000,nine-coffee-789-uong-le-van-sy-ha-noi,,active,,,,,0.0,,675ab04f588fc87127bb5bad
