product_id,name,description,category,price,rating,address,province,latitude,longitude,image_url
6704f3650722c4f99305dc5f,Quán Cafe Sáng Tạo,"Quán cafe với không gian sáng tạo, lý tưởng cho làm việc và gặp gỡ bạn bè.",Khách sạn,200000,3.7,"789 Đường Lê Văn Sỹ, Hà Nội",Hà Nội,21.028511,105.804817,https://res.cloudinary.com/dzy4gcw1k/image/upload/v1735585136/travel-social/file-1735585106495-pew-nguyen-3sXuWhKZVeg-unsplash.jpg.jpg
6704f3650722c4f99305dc5d,Khách sạn Hương Việt,"Nhà hàng phục vụ các món ăn truyền thống Việt Nam, không gian ấm cúng.",Khách sạn,300000,3.8,"123 Đường Trần Hưng Đạo, TP.HCM",TP.HCM,10.776889,106.700806,https://res.cloudinary.com/dzy4gcw1k/image/upload/v1735586344/travel-social/file-1735586315301-3_%20%281%29.jpg.jpg
6704f3650722c4f99305dc5e,Khách Sạn Biển Xanh,Khách sạn ven biển với phòng nghỉ sang trọng và dịch vụ tuyệt vời.,Nhà hàng,200000,4.0,"456 Đường Biển, Nha Trang",Khánh Hòa,12.2451,109.1943,https://res.cloudinary.com/dzy4gcw1k/image/upload/v1735585013/travel-social/file-1735584983393-simply-mersah-f9VRmJ-eAik-unsplash.jpg.jpg
6704f3650722c4f99305dc60,Khách sạn Phố Cổ,"Nhà hàng với các món ăn đặc sản miền Bắc, không gian trang nhã.",Nhà hàng,260000,4.0,"321 Đường Hàng Bông, Hà Nội",Hà Nội,21.0251,105.8421,https://res.cloudinary.com/dzy4gcw1k/image/upload/v1735585010/travel-social/file-1735584979636-alka-jha-lOxVZQc0W0U-unsplash.jpg.jpg
6704f3650722c4f99305dc61,Khách Sạn Mặt Trời,Khách sạn cao cấp với dịch vụ spa và hồ bơi sang trọng.,Khách sạn,400000,5.0,"654 Đường Nguyễn Văn Linh, Đà Nẵng",Đà Nẵng,16.0544,108.2022,https://res.cloudinary.com/dzy4gcw1k/image/upload/v1735585018/travel-social/file-1735584986518-tu-tran-anh-zfJ0U9MhTUA-unsplash.jpg.jpg
6704f3650722c4f99305dc62,Khách Sạn Bên Sông,"Quán cafe yên tĩnh bên sông, lý tưởng để thư giãn và đọc sách.",Quán cafe,150000,4.0,"135 Đường Bến Vân Đồn, TP.HCM",TP.HCM,10.7555,106.7003,https://res.cloudinary.com/dzy4gcw1k/image/upload/v1735586343/travel-social/file-1735586316946-5_.jpg.jpg
6719247c456a0d466dc2be77,Nhà nghỉ six,"Quán cafe với không gian sáng tạo, lý tưởng cho làm việc và gặp gỡ bạn...",Quán cafe,180000,0.0,"789 Đường Lê Văn Sỹ, Hà Nội",Hà Nội,21.0288,105.8067,https://res.cloudinary.com/dzy4gcw1k/image/upload/v1735586343/travel-social/file-1735586313501-1_%20%281%29.jpg.jpg
6772e1d9d9ed3a046ab7d136,LAVENDER HOTEL,"Khách sạn sang trọng với các phòng được thiết kế tinh tế, trang bị TV màn hình phẳng, minibar, và Wi-Fi miễn phí.",Khách sạn,350000,0.0,"07 đường 41, Phường 6, Quận 4, TP. HCM",TP.HCM,10.7555,106.7103,https://res.cloudinary.com/dzy4gcw1k/image/upload/v1735582191/travel-social/file-1735582162387-6f9a2ebe.avif.avif
6772e4e9297d75e3d50f587d,Khách sạn Minh Hằng 2,Khách sạn cao cấp với dịch vụ spa và hồ bơi sang trọng.,Khách sạn,280000,4.5,"152 ngô thuyền, Phường Quảng Thắng, Thành phố Thanh Hóa",Thanh Hóa,19.8065,105.7762,https://res.cloudinary.com/dzy4gcw1k/image/upload/v1735582975/travel-social/file-1735582946714-6f9a2ebe.avif.avif
6772e57e297d75e3d50f5888,Nhà nghỉ Nhật Quang,"Nhà nghỉ tiện nghi gần hồ Ba Bể, phục vụ tốt cho du khách thăm quan vùng núi phía Bắc.",Nhà nghỉ,180000,4.2,"Thôn Cốc Tộc, xã Nam Mẫu, huyện Ba Bể, tỉnh Bắc Kạn",Bắc Kạn,22.4082,105.6276,https://res.cloudinary.com/dzy4gcw1k/image/upload/v1735583127/travel-social/file-1735583098276-77807812.avif.avif
6772e623297d75e3d50f588f,Ivy Hotel,"Khách sạn hiện đại với view đẹp nhìn ra vịnh Hạ Long, dịch vụ ẩm thực cao cấp.",Khách sạn,450000,4.8,Số 18 - Ngõ 1 - vườn đào- phường bãi cháy - Thành Phố hạ Long,Quảng Ninh,20.9589,107.0487,https://res.cloudinary.com/dzy4gcw1k/image/upload/v1735583282/travel-social/file-1735583253641-c9c8e087.avif.avif
